1		2		3		4		5
-309.0		335.0		-1783.0		3		2
-111.0		496.0		-1065.0		4		-2
-260.0		397.0		-1616.0		2		-4
217.0		-141.0		-1638.0		7		-3
570.0		-324.0		-739.0		3		5
292.0		-451.0		-405.0		9		1
-284.0		407.0		-1704.0		-2		-2
653.0		404.0		-1581.0		10		-5
345.0		-322.0		-501.0		5		-1
187.0		-305.0		-2048.0		10		-4
632.0		-516.0		-1322.0		-5		3
-155.0		-98.0		-385.0		-2		-3
488.0		-93.0		-2048.0		-7		-5
299.0		-328.0		-2048.0		-7		2
-315.0		-85.0		-94.0		3		-2
-110.0		69.0		313.0		4		-3
550.0		412.0		54.0		-8		2
113.0		-119.0		-679.0		10		-2
731.0		148.0		-2048.0		2		2
694.0		-102.0		-2048.0		3		1
654.0		15.0		-2048.0		8		2
-212.0		-287.0		497.0		-5		-2
719.0		155.0		-2048.0		0		-2
205.0		415.0		-414.0		-2		1
1103.0		443.0		-1237.0		3		1
855.0		451.0		-2048.0		7		2
1170.0		150.0		-1458.0		6		1
751.0		635.0		-2048.0		-6		-1
-127.0		23.0		-1337.0		5		-3
993.0		392.0		-2048.0		5		3
259.0		-433.0		1013.0		-3		1
457.0		-436.0		757.0		-3		1
-1386.0		-35.0		435.0		-5		0
-811.0		130.0		340.0		0		-3
-985.0		262.0		-1718.0		9		0
762.0		345.0		-1753.0		-1		-1
66.0		144.0		-2048.0		2		1
870.0		286.0		-2048.0		5		0
1629.0		321.0		-2048.0		0		0
95.0		25.0		-2048.0		-16		-1
1486.0		236.0		-2048.0		-6		2
658.0		-229.0		-931.0		3		1
869.0		-212.0		-220.0		0		0
-195.0		-292.0		-1176.0		-2		0
128.0		73.0		-2048.0		-2		0
-628.0		-228.0		-1155.0		-14		-1
167.0		112.0		-2048.0		-6		0
-761.0		-286.0		-1082.0		5		-2
848.0		96.0		-1210.0		-1		-1
639.0		55.0		-2048.0		-11		0
855.0		213.0		-432.0		-12		1
-1163.0		-189.0		864.0		-16		0
160.0		304.0		-2048.0		4		-1
884.0		-94.0		-1582.0		-2		0
1198.0		495.0		-2048.0		-9		0
1816.0		428.0		-2048.0		0		1
314.0		764.0		-2048.0		-3		0
502.0		625.0		-1706.0		2		1
31.0		-245.0		1030.0		-4		1
-532.0		-58.0		724.0		-2		1
-135.0		154.0		707.0		1		-2
-493.0		-122.0		721.0		2		0
416.0		270.0		87.0		-1		-1
-161.0		273.0		-737.0		4		-3
-499.0		63.0		572.0		3		-1
-43.0		250.0		578.0		-1		1
1.0		-262.0		-1285.0		12		2
232.0		152.0		791.0		4		-3
951.0		-268.0		-1382.0		30		-2
447.0		-307.0		-32.0		7		-1
-773.0		-266.0		89.0		1		-1
-484.0		381.0		-772.0		6		-1
-777.0		461.0		-2022.0		-3		2
176.0		-333.0		-1749.0		-11		4
354.0		-229.0		43.0		1		-2
393.0		-402.0		-1530.0		1		-1
657.0		-469.0		-1740.0		-10		-1
791.0		-261.0		-117.0		3		1
374.0		-67.0		544.0		1		3
-442.0		177.0		-1502.0		5		-3
79.0		236.0		-1828.0		13		1
928.0		-282.0		-479.0		-8		0
-595.0		341.0		63.0		0		1
-161.0		302.0		-162.0		0		-1
-197.0		-65.0		-2048.0		-6		0
600.0		111.0		-2048.0		7		3
487.0		412.0		-1918.0		6		2
311.0		458.0		-1611.0		1		3
293.0		634.0		-2048.0		10		1
1003.0		146.0		-1409.0		-17		1
976.0		144.0		-1517.0		-13		2
-226.0		30.0		190.0		-4		1
777.0		534.0		-1953.0		1		3
845.0		-178.0		-2048.0		5		1
591.0		-35.0		-2048.0		-9		0
-810.0		-193.0		-1484.0		1		-3
-225.0		-88.0		-488.0		0		-3
-1514.0		-61.0		553.0		-4		-2
-485.0		-22.0		211.0		3		-2
-283.0		41.0		334.0		3		-1
-461.0		-358.0		-547.0		-1		-2
-909.0		-298.0		-608.0		0		-2
-68.0		-5.0		-574.0		3		-4
155.0		84.0		-1244.0		6		-1
546.0		-248.0		-1256.0		6		0
-7.0		393.0		431.0		-5		-1
97.0		237.0		61.0		-2		1
-503.0		-58.0		570.0		1		-2
-577.0		-308.0		497.0		-3		-1
-739.0		-111.0		612.0		-3		0
-612.0		-234.0		723.0		0		-1
-743.0		-206.0		-416.0		0		-2
121.0		280.0		-365.0		-3		-3
-183.0		264.0		-2048.0		13		4
-569.0		-136.0		924.0		3		-3
-1196.0		-249.0		50.0		-6		-1
-274.0		204.0		-1919.0		7		-6
610.0		397.0		-1508.0		1		3
812.0		675.0		-2048.0		10		4
903.0		-141.0		-2011.0		-7		3
361.0		-388.0		-1978.0		-7		-1
445.0		194.0		422.0		-6		0
113.0		606.0		-1168.0		12		1
11.0		352.0		-1626.0		-6		1
-610.0		276.0		248.0		9		1
346.0		340.0		-1186.0		13		1
-878.0		227.0		-1030.0		6		-5
-421.0		-251.0		-1777.0		-6		-5
369.0		86.0		-1374.0		5		1
-695.0		493.0		-1693.0		3		0
-540.0		-155.0		-1820.0		-1		1
175.0		-381.0		-1759.0		-7		0
-65.0		124.0		213.0		-3		-2
230.0		572.0		-962.0		5		1
643.0		-209.0		-1747.0		-3		1
-312.0		119.0		-252.0		1		-3
-396.0		-218.0		-879.0		-4		0
435.0		445.0		-1635.0		3		-1
-781.0		-278.0		148.0		-13		2
-128.0		276.0		-1964.0		-7		1
-791.0		-320.0		728.0		3		0
1413.0		660.0		-2048.0		7		4
-1522.0		-98.0		883.0		3		-2
-89.0		218.0		558.0		2		-3
-1048.0		353.0		555.0		9		-1
-243.0		8.0		-1200.0		-16		-2
551.0		270.0		-1867.0		-8		-2
445.0		255.0		433.0		3		3
100.0		185.0		73.0		0		1
134.0		34.0		-1517.0		-2		0
219.0		117.0		-1449.0		0		1
684.0		119.0		-2048.0		7		1
-65.0		31.0		-2048.0		9		3
380.0		-88.0		-1740.0		-9		2
344.0		199.0		284.0		1		3
-234.0		346.0		255.0		10		0
-272.0		384.0		129.0		1		2
575.0		22.0		363.0		2		-1
313.0		11.0		387.0		1		-1
89.0		134.0		-143.0		0		0
705.0		-97.0		-268.0		-3		-1
443.0		-223.0		-1691.0		1		5
446.0		261.0		-2048.0		-8		0
490.0		479.0		-2048.0		1		3
699.0		627.0		-2048.0		6		2
319.0		-111.0		627.0		0		-2
-1387.0		-114.0		-437.0		3		-2
256.0		-7.0		-26.0		-2		-2
-389.0		-71.0		458.0		-3		-2
367.0		407.0		355.0		0		-2
-313.0		-67.0		205.0		-1		-2
361.0		323.0		77.0		-2		-2
-335.0		-15.0		483.0		3		-2
-1162.0		-24.0		499.0		5		-1
977.0		-227.0		-2048.0		16		1
1137.0		-155.0		-1984.0		2		0
471.0		493.0		-2048.0		3		3
405.0		338.0		-2048.0		8		3
738.0		188.0		-2048.0		1		0
711.0		265.0		-2048.0		-17		0
637.0		403.0		-2048.0		-18		0
788.0		212.0		-150.0		-5		4
180.0		345.0		-2048.0		-14		-3
1204.0		-288.0		-1664.0		-7		-1
608.0		-20.0		-1697.0		-5		3
277.0		66.0		-1492.0		-5		-1
484.0		-125.0		-921.0		-7		3
765.0		101.0		-292.0		0		-1
438.0		298.0		-245.0		-2		1
-57.0		168.0		-135.0		4		-1
-98.0		83.0		200.0		-3		-1
-85.0		146.0		521.0		2		-1
-1272.0		96.0		285.0		4		-1
-1398.0		280.0		-195.0		10		-1
96.0		114.0		448.0		-5		1
-1055.0		142.0		454.0		5		0
-717.0		89.0		-189.0		1		-2
-994.0		12.0		-1330.0		7		-3
-443.0		394.0		263.0		-2		2
22.0		133.0		377.0		1		1
274.0		338.0		-1695.0		9		-2
120.0		294.0		-1199.0		3		0
87.0		178.0		-1356.0		4		-3
-523.0		53.0		131.0		2		-3
-294.0		-24.0		-1296.0		5		-2
-43.0		-42.0		-1489.0		7		-3
280.0		189.0		-2026.0		2		-2
726.0		-124.0		-859.0		-14		-3
343.0		-27.0		-270.0		0		4
-537.0		546.0		149.0		5		-2
-475.0		430.0		274.0		0		1
-896.0		369.0		-430.0		3		0
38.0		246.0		-1713.0		4		-4
-433.0		326.0		131.0		-6		1
-82.0		-105.0		-2048.0		14		2
119.0		99.0		-1798.0		4		0
40.0		305.0		-1598.0		2		1
140.0		234.0		-1791.0		4		-4
289.0		193.0		-1091.0		7		0
-569.0		-94.0		-1251.0		3		-2
-990.0		-90.0		-1468.0		9		-2
-516.0		-123.0		-823.0		-5		-3
33.0		112.0		-1968.0		6		-4
662.0		180.0		-1510.0		-8		-1
693.0		551.0		-1909.0		-8		1
384.0		238.0		-2048.0		1		1
480.0		11.0		-2048.0		-2		2
1475.0		530.0		-2048.0		0		3
290.0		299.0		-1984.0		-1		2
659.0		817.0		-2048.0		-1		4
-771.0		-400.0		-1408.0		-1		-5
-368.0		-326.0		238.0		-10		0
-1131.0		-94.0		379.0		-3		-2
864.0		420.0		-1790.0		-10		0
-536.0		-250.0		255.0		-2		-1
-949.0		-141.0		174.0		-10		1
568.0		436.0		-1751.0		10		4
611.0		-90.0		-1689.0		-3		-3
-297.0		-284.0		-529.0		-4		0
-1040.0		324.0		-52.0		0		-6
-921.0		-268.0		-27.0		-7		-3
-312.0		-436.0		-952.0		0		-2
-1767.0		-160.0		-685.0		2		-1
822.0		-20.0		-1945.0		-8		0
653.0		270.0		-2048.0		-3		2
738.0		379.0		-2048.0		7		0
1223.0		99.0		-1888.0		3		0
429.0		465.0		-2048.0		2		4
337.0		-98.0		-1368.0		5		-4
128.0		395.0		-2048.0		2		4
167.0		-89.0		-1593.0		4		0
236.0		359.0		-2048.0		5		2
546.0		353.0		-1764.0		-3		2
816.0		510.0		-2048.0		-6		2
826.0		580.0		-1886.0		5		2
445.0		264.0		-48.0		-2		1
324.0		217.0		-1738.0		6		0
-383.0		-265.0		-560.0		-3		-2
-2.0		4.0		1009.0		0		-3
-973.0		7.0		976.0		3		-2
97.0		158.0		-1909.0		12		1
418.0		63.0		-2012.0		1		3
261.0		-243.0		-2048.0		14		3
603.0		319.0		-1859.0		7		0
630.0		50.0		-1908.0		3		-2
-72.0		186.0		-636.0		-6		1
242.0		218.0		-2048.0		-16		0
-633.0		-53.0		-1387.0		4		-1
-84.0		219.0		-1751.0		-4		1
836.0		-54.0		-1831.0		5		3
-965.0		136.0		352.0		-1		-4
883.0		437.0		-2042.0		6		1
97.0		-129.0		-1443.0		9		-3
-293.0		3.0		154.0		-2		-1
-403.0		-72.0		239.0		-1		-2
347.0		221.0		-166.0		-2		0
128.0		247.0		-501.0		-5		-1
479.0		146.0		-44.0		-1		1
621.0		379.0		-2048.0		1		1
646.0		154.0		-2048.0		0		-3
248.0		147.0		-573.0		-3		-2
560.0		168.0		-1065.0		-4		1
570.0		-2.0		-1931.0		-4		2
348.0		237.0		-2048.0		3		-3
-170.0		-264.0		-594.0		2		1
-36.0		272.0		-2048.0		-5		3
1244.0		566.0		-2048.0		-1		-2
775.0		101.0		-1438.0		9		2
-391.0		-277.0		-1528.0		-5		-4
100.0		306.0		124.0		0		1
712.0		443.0		-2042.0		2		0
619.0		570.0		-1937.0		3		-4
-393.0		-380.0		-697.0		-3		-2
-1108.0		-84.0		528.0		-3		-3
-621.0		-78.0		82.0		-7		0
1343.0		690.0		-1934.0		-1		2
443.0		475.0		-2048.0		-1		1
502.0		446.0		-1736.0		1		2
1355.0		39.0		-1275.0		5		1
469.0		533.0		-1997.0		0		3
945.0		433.0		-1734.0		8		3
689.0		312.0		-1976.0		-8		3
581.0		-449.0		-1597.0		-7		0
-17.0		-365.0		-1250.0		-3		-1
-934.0		80.0		469.0		-6		-1
-742.0		-10.0		605.0		-1		-3
-298.0		10.0		-1148.0		10		-4
-194.0		34.0		-2017.0		12		2
307.0		392.0		-2048.0		5		3
82.0		-346.0		-1002.0		0		0
-157.0		-401.0		-565.0		-11		3
-574.0		-172.0		-333.0		-3		-1
758.0		374.0		-1612.0		14		2
581.0		480.0		-1682.0		8		1
460.0		570.0		-2048.0		9		3
952.0		610.0		-2048.0		1		-2
363.0		184.0		-1041.0		7		4
780.0		435.0		-2048.0		1		0
119.0		204.0		-2048.0		3		2
1005.0		-338.0		-2048.0		-16		-1
226.0		-229.0		-2048.0		19		-1
-173.0		220.0		-1897.0		1		0
-610.0		343.0		344.0		-5		2
-608.0		168.0		-1240.0		0		-6
-73.0		43.0		-1877.0		12		-7
-753.0		292.0		-725.0		-10		2
793.0		-450.0		-845.0		17		3
200.0		342.0		-1612.0		-11		-3
187.0		-185.0		-1761.0		-17		-1
177.0		325.0		343.0		-2		0
-1012.0		-13.0		308.0		0		1
-170.0		234.0		-531.0		11		-6
59.0		519.0		-1554.0		10		3
-671.0		268.0		98.0		-1		2
-975.0		498.0		426.0		2		3
503.0		208.0		-2048.0		4		0
566.0		-2.0		-1922.0		-8		3
954.0		-174.0		-605.0		-5		2
441.0		43.0		-1593.0		-4		4
402.0		67.0		299.0		2		-4
-782.0		238.0		-1184.0		15		-6
129.0		484.0		-1707.0		-1		3
196.0		288.0		-1816.0		9		2
72.0		447.0		-1605.0		1		1
222.0		303.0		-1654.0		9		-3
454.0		22.0		-1820.0		-3		-1
-173.0		289.0		-2048.0		4		-2
87.0		432.0		-1800.0		13		2
440.0		-346.0		-1561.0		-22		3
756.0		-190.0		-1568.0		-15		-2
-628.0		288.0		249.0		7		2
-74.0		124.0		-740.0		2		1
-270.0		405.0		89.0		7		1
-345.0		380.0		355.0		-4		3
-810.0		335.0		-461.0		4		1
10.0		161.0		247.0		3		2
-321.0		267.0		181.0		7		0
220.0		297.0		-1922.0		6		-1
-353.0		513.0		-1580.0		19		-3
733.0		-281.0		-1443.0		-19		5
-179.0		20.0		168.0		3		3
-747.0		83.0		387.0		5		0
119.0		-73.0		408.0		11		-1
410.0		-269.0		-1392.0		-24		0
319.0		573.0		-1701.0		-13		2
554.0		-458.0		-395.0		-6		2
-372.0		427.0		-1315.0		10		-3
-538.0		326.0		-1862.0		16		0
196.0		-220.0		-1535.0		-9		2
137.0		210.0		495.0		15		-1
373.0		306.0		-1200.0		10		-4
-414.0		214.0		-1726.0		16		3
-512.0		301.0		-1662.0		5		-3
678.0		-300.0		-648.0		-7		0
922.0		-459.0		-1649.0		-13		5
-487.0		287.0		369.0		4		0
-109.0		391.0		-1474.0		9		3
481.0		509.0		-1754.0		1		-1
560.0		-656.0		-1324.0		-10		4
-393.0		300.0		196.0		3		3
-811.0		310.0		-898.0		4		-4
-127.0		193.0		-1844.0		12		-6
301.0		151.0		-2002.0		0		0
246.0		50.0		-1546.0		-11		-1
225.0		-20.0		571.0		3		-1
125.0		78.0		591.0		-3		-2
-1193.0		-24.0		325.0		1		-3
-878.0		56.0		66.0		-5		1
-417.0		-105.0		427.0		3		-1
749.0		373.0		-2048.0		8		0
-1390.0		-341.0		-707.0		-4		-3
-638.0		-73.0		-1625.0		1		-2
-915.0		-272.0		282.0		1		-3
-51.0		253.0		523.0		-3		-3
-274.0		384.0		-1838.0		11		1
1191.0		488.0		-2048.0		-6		4
96.0		-173.0		-1946.0		0		0
-267.0		-151.0		-177.0		-7		3
-55.0		-206.0		-2048.0		0		2
-511.0		-191.0		-2048.0		-7		0
-341.0		-286.0		-40.0		-1		-1
-420.0		88.0		499.0		-2		-1
-308.0		237.0		-1669.0		7		1
531.0		540.0		-2048.0		0		3
-224.0		70.0		-1803.0		10		2
631.0		239.0		-1857.0		14		3
1208.0		5.0		-1200.0		3		4
702.0		123.0		-1803.0		11		2
260.0		-163.0		-1671.0		7		0
801.0		-225.0		-1059.0		15		1
391.0		131.0		-1642.0		1		2
424.0		584.0		-2048.0		8		1
-339.0		-479.0		-748.0		-6		-4
152.0		403.0		-80.0		3		-1
-306.0		152.0		-1427.0		-2		0
219.0		253.0		128.0		-3		1
-879.0		112.0		638.0		1		-1
57.0		-71.0		-1007.0		8		-4
48.0		231.0		-2008.0		17		2
840.0		202.0		-2048.0		-18		2
-169.0		263.0		-232.0		-4		1
101.0		167.0		548.0		0		0
9.0		264.0		497.0		-1		-2
-233.0		-9.0		-1350.0		-3		-3
-304.0		-29.0		-1507.0		-3		-3
-340.0		140.0		-202.0		-1		2
255.0		190.0		-1129.0		8		-4
851.0		-108.0		-2024.0		-12		2
683.0		219.0		-2048.0		10		0
379.0		137.0		-1936.0		7		3
-200.0		332.0		460.0		-3		-2
-842.0		316.0		80.0		6		2
-331.0		212.0		-254.0		-7		3
397.0		204.0		-2048.0		-17		0
72.0		55.0		-1376.0		-14		3
530.0		-138.0		-711.0		-13		1
783.0		-23.0		-2048.0		-17		4
686.0		260.0		-2048.0		-11		1
508.0		89.0		-2048.0		0		0
377.0		330.0		-2038.0		8		2
596.0		431.0		-1758.0		3		4
527.0		-157.0		-1946.0		8		-1
-884.0		-92.0		-496.0		-4		3
-527.0		-72.0		-75.0		2		4
623.0		105.0		-319.0		-9		1
